test_1,test_2,result,start,stop,time_index,battery_current,field,measurement,host,name,slave_id,type
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T10:36:00Z,-0.5,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T10:38:00Z,-0.16666666666666666,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T10:40:00Z,-0.5,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T10:42:00Z,-0.2,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T11:04:00Z,-1,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T11:06:00Z,-1,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T11:08:00Z,50.833333333333336,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T11:10:00Z,111.16666666666667,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T11:12:00Z,114.5,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T11:14:00Z,114.66666666666667,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T11:16:00Z,114.83333333333333,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T11:18:00Z,115.16666666666667,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T11:20:00Z,115.66666666666667,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T11:22:00Z,115.83333333333333,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T11:24:00Z,115.16666666666667,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T11:26:00Z,115,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T11:28:00Z,114.33333333333333,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T11:30:00Z,114.5,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
